Enlace,datos
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505151703&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505150916&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505150111&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505145733&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505145413&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505145234&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505144657&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505135051&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230505112733&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230504230406&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230504195435&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230503053834&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230503043018&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230503011516&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230502121652&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230502075050&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230502035933&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230502002400&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501175931&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501170319&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501161318&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501153822&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501134639&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501130620&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501130110&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501125935&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501125529&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501122613&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501112720&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501090311&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501085553&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501071823&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501050835&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501050353&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230501014007&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430235158&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430212525&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430204139&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430185559&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430062712&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430012211&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230430005329&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230429091850&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230429045747&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230429021936&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230428164911&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230428135227&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230428094247&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230428071223&lang=es,[]
https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230427224635&lang=es,[]
